3735	A
3782	A
5819	A
1568	A
3824	A
642	A
877	A
999	A
6996	B
7781	A
3438	A
6051	B
6550	A
6071	A
8057	B
3405	A
4218	B
3480	A
2102	B
985	A
6528	A
468	B
7024	A
1641	A
6746	A
6180	A
6100	B
6395	A
6955	A
8260	A
331	A
5937	A
6552	A
1747	B
6355	A
4823	A
5146	A
4312	A
1282	A
2029	A
3294	B
1159	A
7348	A
350	A
6481	A
6571	A
8284	A
460	B
2565	A
6053	A
1861	A
2519	A
3066	A
8075	A
3288	A
4670	A
2753	A
4701	A
509	A
2731	A
5091	A
7978	A
735	A
2178	B
3486	B
6619	A
6126	B
6477	A
6917	A
5393	A
1152	A
5949	A
3786	B
1839	B
5371	A
5566	A
2438	A
7119	B
3731	A
3912	A
549	A
57	B
6204	B
1599	B
8221	A
230	B
905	A
2616	A
8081	A
1596	A
7598	A
6967	A
517	A
8233	A
3898	A
947	A
6493	A
1853	A
1455	A
5965	A
1253	A
881	A
3393	B
3076	B
4299	A
6731	A
1365	A
6606	A
2471	A
737	A
5357	A
3856	A
2232	A
2728	A
6572	A
7675	A
1173	A
4195	A
5889	A
24	A
2686	A
1401	A
2788	A
2305	A
4887	A
2221	A
195	A
6670	A
727	A
1637	B
3073	A
1328	A
5187	A
3722	A
2292	A
3400	A
3312	B
4937	A
2346	A
1315	A
4277	A
6897	A
2659	A
7839	A
7305	A
6415	B
1484	B
4688	A
5437	A
1241	A
573	A
7026	A
2869	A
2262	A
2193	A
1291	A
4646	A
6326	A
6934	A
7219	A
8005	B
1203	B
2562	B
871	A
2151	A
2578	B
2147	A
494	A
5153	A
3629	A
165	A
7145	A
6927	A
6431	A
3436	A
899	A
373	A
2226	A
405	A
6232	A
1125	A
3489	A
1927	A
5476	A
6252	A
1976	A
136	A
5528	A
7107	B
4912	A
3231	A
4171	A
2013	A
271	A
2901	A
5913	A
4235	A
5917	A
6617	A
7221	A
583	A
626	A
6848	A
6686	A
3321	A
7292	A
8206	A
5267	A
6945	A
3607	B
2682	B
7959	A
5517	B
5112	B
6412	A
1267	A
6892	A
1372	B
2404	A
1926	A
2520	B
7905	A
366	A
4651	A
1545	A
8180	A
4665	A
5354	A
1712	A
2374	A
3947	A
6665	A
1298	A
4983	A
46	A
6668	A
1452	A
868	A
7949	A
6674	A
3024	B
110	A
847	B
3275	B
7734	A
370	A
5628	A
7996	A
2932	A
6088	A
5204	A
3750	A
4186	B
890	A
1307	B
904	B
2265	A
5483	B
7179	B
1244	A
5006	A
7605	B
62	B
2689	B
1924	A
5602	A
6168	A
175	A
7884	A
2319	A
607	A
6462	A
8254	A
6815	A
3447	A
7875	A
1809	B
806	A
5966	A
1971	A
6880	B
1325	A
5873	B
2913	A
7611	A
7877	A
1174	A
3576	A
864	A
128	A
4133	A
7777	A
8145	B
3222	A
1123	A
8037	A
4285	A
7157	B
1626	A
5885	B
4168	A
7341	A
2823	A
377	A
3093	B
2255	A
4825	B
154	A
3450	B
959	A
259	A
8249	A
2139	A
3423	A
5645	A
4100	A
3146	A
5962	A
6484	B
4899	A
2781	A
3470	A
4759	A
3664	B
7881	A
6411	A
5828	A
3991	A
3029	A
400	B
2042	A
5704	A
302	A
1164	A
4718	A
2917	A
2316	A
4748	A
6929	A
1351	A
2987	A
1829	B
7856	A
2111	B
7755	A
1349	A
7632	A
1979	A
3032	A
5346	A
1799	A
3352	B
7009	A
1225	A
1830	A
8293	A
7014	A
3888	A
2197	B
6490	A
4037	B
2626	A
92	A
2434	A
218	A
5553	A
2754	B
620	B
5031	B
6701	A
1605	A
4706	A
6515	A
2718	A
3324	A
5352	A
193	A
4154	A
601	A
5462	A
1257	A
5078	A
6605	A
221	B
5688	A
1399	A
7751	A
4215	A
3980	A
2924	A
3228	A
616	A
6428	A
1271	A
384	B
7220	B
6208	A
6863	A
2387	A
5190	A
4953	A
213	A
5376	A
335	A
6860	A
4596	A
6673	B
7686	A
3997	B
854	A
4269	A
4852	A
5853	A
2298	A
6042	A
978	A
4143	A
3195	A
2715	A
1469	A
5282	A
6639	A
6015	A
8115	A
3459	B
6990	B
2801	A
1052	B
4314	A
6699	A
499	A
7354	A
4129	A
6052	A
6648	A
651	A
6997	A
1590	B
4141	A
3550	A
5549	A
6890	A
7025	A
4833	A
2400	B
886	A
5469	A
5658	A
7950	A
7908	A
3725	B
5467	A
1237	A
4828	A
2150	A
3249	A
4099	A
3880	A
7270	A
7696	B
4058	B
2130	A
28	A
1445	A
7599	A
5899	B
3238	A
1778	B
6391	A
1204	A
5298	A
1795	A
2965	A
116	A
5824	A
1338	A
6935	A
